record_id	phytoplasma	host_group	host_family	host_species	country	reference_id	full_reference
13	16SrV C	insect	Dictyopharidae	Dictyophara europaea	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
14	16SrI B	insect	Aphrophoridae	Aphrophora alni	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
15	not detected	insect	Aphrophoridae	Philaenus spumarius	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
16	not detected	insect	Cicadellidae	Hephathus nanus	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
17	not detected	insect	Cicadellidae	Macropsis fuscula	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
18	16SrI B	insect	Cicadellidae	Anaceratagallia ribauti	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
19	not detected	insect	Cicadellidae	Aphrodes diminutus	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
20	not detected	insect	Cicadellidae	Empoasca vitis	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
21	16SrI C	insect	Cicadellidae	Errastunus ocellaris	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
22	not detected	insect	Cicadellidae	Euscelis incisa	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
23	not detected	insect	Cicadellidae	Graphocraerus ventralis	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
24	16SrI C	insect	Cicadellidae	Jassargus obtusivalvis	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
25	16SrI C	insect	Cicadellidae	Henschia collina	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
26	16SrI C	insect	Cicadellidae	Mocydia crocea	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
27	16SrI C	insect	Cicadellidae	Psammotettix striatus	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
28	16SrII E	insect	Cicadellidae	Neoaliturus fenestratus	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
29	not characterized	insect	Cicadellidae	Neoaliturus fenestratus	Israel	Klein 1970	Klein, M. 1970. Safflower phyllody - a mycoplasma disease of Carthamus tinctorius in Israel. Plant Disease Reporter, 54: 735-738
30	16SrIX	insect	Cicadellidae	Neoaliturus fenestratus	Iran	Salehi et al 2006	Salehi, M., Izadpanah, K., Nejat, N. 2006. A new phytoplasma infecting lettuce in Iran. Plant Disease, 90: 247
31	16SrII	insect	Cicadellidae	Orosius orientalis	Taiwan	Lo 1966	Lo, T.C. 1966. Transmission of soybean rosette by leafhopper, Nesophrosyne orientalis Matsumura. In: Proceedings of the Pacific Science Congress 11th Scientific Council 6:3. Tokyo, Japan
32	16SrVI A	insect	Cicadellidae	Orosius argentatus	Australia	Grylls 1979	"Grylls, N.E. 1979. Leafhopper vectors and the plant disease agents they transmit in Australia. In: ""Leafhopper Vectors and Plant Disease Agents"", eds K. Maramorosch and K.F. Harris, Academic Press, New York, pp. 179- 214"
33	16SrII	insect	Cicadellidae	Orosius argentatus	Australia	Helson 1951	Helson, G.A.H. 1951. The Transmission of Witches' Broom Virus Disease of Lucerne by the Common Brown Leafhopper, Orosius argentatus (Evans). Australian Journal of Biological Sciences, 4(2): 115 - 124
34	16SrIII B	insect	Cicadellidae	Orosius argentatus	Australia	Grylls 1979	"Grylls, N.E. 1979. Leafhopper vectors and the plant disease agents they transmit in Australia. In: ""Leafhopper Vectors and Plant Disease Agents"", eds K. Maramorosch and K.F. Harris, Academic Press, New York, pp. 179- 214"
35	not detected	insect	Aphrophoridae	Aphrophora alni	Italy	Carraro et al 2004	Carraro, L., Ferrini, F., Ermacora, P., Loi, N., Martini, M., Osler, R. 2004. Macropsis mendax as a vector of elm yellows phytoplasma of Ulmus species. Plant Pathology, 53: 90-95
36	not detected	insect	Aphrophoridae	Philaenus spumarius	Italy	Carraro et al 2004	Carraro, L., Ferrini, F., Ermacora, P., Loi, N., Martini, M., Osler, R. 2004. Macropsis mendax as a vector of elm yellows phytoplasma of Ulmus species. Plant Pathology, 53: 90-95
37	16SrIV A	insect	Cicadellidae	Aphrodes bicinctus	Czech Republic	Brcak 1979	Brcak, J. 1979. Leafhopper and planthopper vectors of plant disease agents in central and southern Europe. In: Leafhopper Vectors and Plant Disease Agents, eds, K. Maramorosch, KF Harris. pp. 97-146. London: Academic Press
38	16SrXII A	insect	Cicadellidae	Aphrodes bicinctus	Czech Republic	Brcak 1954	Brcak, J. 1954. Novy Prenasec stolburu (Bezesemennosti) rajcete a tabaku-krisek Aphrodes bicinctus Schrk. Zool. A Ent. Listy, III-17(4): 231-237
39	16SrI C	insect	Cicadellidae	Aphrodes bicinctus	United Kingdom	Posnette & Ellenberger 1963	Posnette, A.F., Ellenberger, C.E. 1963. Further studies of green petal and other leafhopper-transmitted viruses infecting strawberry and clover. Annals of Applied Biology, 51: 69-83
40	not detected	insect	Cicadellidae	Aphrodes sp.	Italy	Carraro et al 2004	Carraro, L., Ferrini, F., Ermacora, P., Loi, N., Martini, M., Osler, R. 2004. Macropsis mendax as a vector of elm yellows phytoplasma of Ulmus species. Plant Pathology, 53: 90-95
41	16SrXII A	insect	Cicadellidae	Cicadella viridis	Croatia	Mikec et al 2009	Mikec, I., Krizanac, I., Budinscak, Z., Seruga Music, M., Krajacic, M., Skoric, D. 2009. Phytoplasma and their potential vector in vineyards of indigenous croatian varieties. In: Abstract Book of 15th Meeting of the International Council for the Study of Virus and Virus-like Diseases of the Grapevine, 2006
42	16SrIII	insect	Cicadellidae	Graphocephala confluens	USA	Anthon & Wolfe 1951	Anthon, E.W., Wolfe, H.R. 1951. Additional insect vectors of western X-disease. Plant Disease Reports, 35: 245-246
43	16SrI	insect	Cicadellidae	Olidiana indica	India	Rangaswami & Griffith 1941	Rangaswami, S., Griffith, A.L. 1941. Demonstration of Jassus indicus (Walk.) as a vector of the spike disease of sandal (Santalum album Linn.). Indian Forester, 67: 387-394
44	16SrI	insect	Cicadellidae	Acinopterus angulatus	USA	Severin 1947a	Severin, H.H.P. 1947a. Acinopterus angulatus, a newly discovered leafhopper vector of California aster-yellows virus. Hilgardia, 17: 197-205
45	16SrIII A	insect	Cicadellidae	Acinopterus angulatus	USA	Purcell 1979	Purcell, A.H. 1979. Transmission of X-disease agent by the leafhoppers Scaphytopius nitridus and Acinopterus angulatus. Plant Disease Reports, 63: 549-552
46	16SrIII A	insect	Cicadellidae	Colladonus clitellarius	USA	Gilmer et al 1966	Gilmer, R.M., Palmiter, D.H., Schaefers, G.A., McEwen, F.L. 1966. Leafhopper transmission of X-disease virus of stone fruits in New York. New York State Agricultural Experiment (Geneva) Bulletin, 813: 22
47	16SrIII A	insect	Cicadellidae	Colladonus geminatus	USA	Wolfe et al 1950	Wolfe, H.R., Anthon, E.W., Jones, L.S. 1950. Transmission of western X-disease of peaches by the leafhopper, Colladonus geminatus (Van D.). Phytopathology, 40: 971
48	16SrI	insect	Cicadellidae	Colladonus geminatus	USA	Frazier & Severin 1945	Frazier, N.W., Severin, H.H.P. 1945. Weed-host range of California aster yellows. Hilgardia, 16: 621-650
49	16SrIII A	insect	Cicadellidae	Colladonus montanus	USA	Wolfe 1955	Wolfe, H.R. 1955. Transmission of the western X-disease virus by the leafhopper, Colladonus montanus (Van Duzee). Plant Disease Report, 39: 298-299
50	16SrI	insect	Cicadellidae	Colladonus montanus	USA	Nielson 1979	Nielson, M.W. 1979. Taxonomic relationships of leafhopper vectors of plant pathogens. In: Leafhopper Vectors and Plant Disease Agents. K. Maramorosch and K. F. Harris, eds. Academic Press, New York, pp. 3-27
51	16SrIII A	insect	Cicadellidae	Norvellina seminuda	USA	Gilmer et al 1966	Gilmer, R.M., Palmiter, D.H., Schaefers, G.A., McEwen, F.L. 1966. Leafhopper transmission of X-disease virus of stone fruits in New York. New York State Agricultural Experiment (Geneva) Bulletin, 813: 22
52	16SrIX A	insect	Cicadellidae	Ollarianus balli	Jamaica	Dabek 1982	Dabek, A.J. 1982. Transmission experiments on coconut lethal yellowing disease with Deltocephalus flavicosta Stål, a leafhopper vector of periwinkle phyllody in Jamaica. Phytopathologische Zeitschrift, 103: 109-119
53	16SrV D	insect	Cicadellidae	Orientus ishidae	Slovenia	Mehle et al 2011	Mehle, N., Ravnikar, M., Seljak, G., Knapie, V., Dermastia, M. 2011. The most widespread phytoplasmas, vectors and measuresfor disease control in Slovenia. Phytopathogenic Mollicutes, 1(2): 65-76
54	16SrXII	insect	Cicadellidae	Thamnotettix dilutior	United Kingdom	Posnette & Ellenberger 1963	Posnette, A.F., Ellenberger, C.E. 1963. Further studies of green petal and other leafhopper-transmitted viruses infecting strawberry and clover. Annals of Applied Biology, 51: 69-83
55	16SrXII A	insect	Cicadellidae	Thamnotettix dilutior	Italy	Carraro et al 2008	Carraro, L., Ferrini, F., Martini, M., Ermacora, P., Loi, N. 2008. A serious epidemic of Stolbur on Celery. Journal of Plant Pathology, 90(1): 131-135
56	16SrV D	insect	Cicadellidae	Euscelidius variegatus	Italy	Bressan et al 2006	Bressan, A., Larrue, J., Boudon-Padieu, E. 2006. Patterns of phytoplasma-infected and infective Scaphoideus titanus leafhoppers in vineyards with high incidence of Flavescence dorée. Entomologia Experimentalis et Applicata, 119: 61-69
57	16SrI C	insect	Cicadellidae	Euscelidius variegatus	France	Giannotti 1969	Giannotti, J. 1969. Transmission of clover phyllody by a new leafhopper vector, Euscelidius variegatus. Plant Disease Reports, 53: 173
58	16SrI	insect	Cicadellidae	Euscelidius variegatus	USA	Severin 1947b	Severin, H.H.P. 1947b. Newly discovered leafhopper vectors of California aster-yellows virus. Hilgardia, 17: 511-524
59	16SrIII A	insect	Cicadellidae	Euscelidius variegatus	USA	Jensen 1969	Jensen, D.D. 1969. Comparative transmission of western X-disease virus by Colladonus montanus, C. geminatus, and a new leafhopper vector, Euscelidius variegatus. Journal of Economic Entomology, 62: 1147-1150
60	16SrV C	insect	Cicadellidae	Euscelidius variegatus	France	Lherminier et al 1989	Lherminier, J., Terwisscha van Scheltinga, T., Boudon-Padieu, E., Caudwell, A. 1989. Rapid immunofluorescent detection of the grapevine Flavescence Dorée mycoplasmalike organism in the salivary glands of the leafhopper Euscelidius variegatus Kbm. Journal of Phytopathology, 125: 353-360
61	16SrI B	insect	Cicadellidae	Euscelidius variegatus	Italy	Alma et al 2001	Alma, A., Palermo, S., Boccardo, G., Conti, M. 2001. Transmission of chrysanthemum yellows, a subgroup 16SrI-B phytoplasma, to grapevine by four leafhopper species. Journal of Plant Pathology, 83: 181-187
62	16SrI B	insect	Cicadellidae	Euscelidius variegatus	Italy	Palermo et al 2001	Palermo, S., Arzone, A., Bosco, D. 2001. Vector-pathogen-host plant relationships of chrysanthemum yellows (CY) phytoplasma and the vector leafhoppers Macrosteles quadripunctulatus and Euscelidius variegatus. Entomologia Experimentalis et Applicata, 99(3): 347-354
63	16SrV D	insect	Cicadellidae	Euscelis incisa	France	Bressan et al 2006	Bressan, A., Larrue, J., Boudon-Padieu, E. 2006. Patterns of phytoplasma-infected and infective Scaphoideus titanus leafhoppers in vineyards with high incidence of Flavescence dorée. Entomologia Experimentalis et Applicata, 119: 61-69
64	not characterized	insect	Cicadellidae	Euscelis incisa	Czech Republic	Brcak 1979	Brcak, J. 1979. Leafhopper and planthopper vectors of plant disease agents in central and southern Europe. In: Leafhopper Vectors and Plant Disease Agents, eds, K. Maramorosch, KF Harris. pp. 97-146. London: Academic Press
65	16SrXII A	insect	Cicadellidae	Euscelis incisa	Czech Republic	Brcak 1979	Brcak, J. 1979. Leafhopper and planthopper vectors of plant disease agents in central and southern Europe. In: Leafhopper Vectors and Plant Disease Agents, eds, K. Maramorosch, KF Harris. pp. 97-146. London: Academic Press
66	16SrVI	insect	Cicadellidae	Euscelis incisa	United Kingdom	Posnette & Ellenberger 1963	Posnette, A.F., Ellenberger, C.E. 1963. Further studies of green petal and other leafhopper-transmitted viruses infecting strawberry and clover. Annals of Applied Biology, 51: 69-83
67	16SrI B	insect	Cicadellidae	Euscelis incisa	Italy	Alma et al 2001	Alma, A., Palermo, S., Boccardo, G., Conti, M. 2001. Transmission of chrysanthemum yellows, a subgroup 16SrI-B phytoplasma, to grapevine by four leafhopper species. Journal of Plant Pathology, 83: 181-187
68	16SrI C	insect	Cicadellidae	Euscelis lineolata	Italy	Savio & Conti 1983	Savio, C., Conti, M. 1983. Epidemiology and transmission of plant mycoplasmas. In: Proceedings of the 13th Congresso Nazionale italiano di Entomologia, pp. 407-414
69	16SrI C	insect	Cicadellidae	Euscelis lineolata	United Kingdom	Frazier & Posnette 1956	Frazier, N.W., Posnette, A.F. 1956. Leafhopper transmission of clover virus causing green petal disease strawberry. Nature, 177: 1040-1041
70	16SrI C	insect	Cicadellidae	Euscelis lineolata	Italy: Marche	Landi et al 2013	Landi, L., Isidoro, N., Riolo, P. 2013. Natural phytoplasma infection of four phloem-feeding Auchenorrhyncha across vineyard agroecosystems in Central-Eastern Italy. Journal of Economic Entomology, 106(2): 604-613
71	16SrI B	insect	Cicadellidae	Euscelis lineolata	Italy: Marche	Landi et al 2013	Landi, L., Isidoro, N., Riolo, P. 2013. Natural phytoplasma infection of four phloem-feeding Auchenorrhyncha across vineyard agroecosystems in Central-Eastern Italy. Journal of Economic Entomology, 106(2): 604-613
72	16SrXII A	insect	Cicadellidae	Euscelis lineolata	Italy: Marche	Landi et al 2013	Landi, L., Isidoro, N., Riolo, P. 2013. Natural phytoplasma infection of four phloem-feeding Auchenorrhyncha across vineyard agroecosystems in Central-Eastern Italy. Journal of Economic Entomology, 106(2): 604-613
73	16SrIX	insect	Cicadellidae	Exitianus capicola	Israel	Weintraub et al 2004	Weintraub, G.P., Pivonia, S., Rosner, A., Gera, A. 2004. A new disease in Limonium latifolium Hybrids II, investigating insect vectors. HortScience, 39(5): 1060-1061
74	not characterized	insect	Cicadellidae	Exitianus capicola	Israel	Weintraub et al 2004	Weintraub, G.P., Pivonia, S., Rosner, A., Gera, A. 2004. A new disease in Limonium latifolium Hybrids II, investigating insect vectors. HortScience, 39(5): 1060-1061
75	16SrXI A	insect	Cicadellidae	Nephotettix cincticeps	China	Chancellor & Cook 1995	Chancellor, T.C.B., Cook, A.G. 1995. The bionomics and population dynamics of Nephotettix spp. (Hemiptera: Cicadellidae) in south and southeast Asia with particular reference to the incidence of rice tungro virus disease. Tropical Science, 35: 200-216
76	16SrXI A	insect	Cicadellidae	Nephotettix virescens	China	Chancellor & Cook 1995	Chancellor, T.C.B., Cook, A.G. 1995. The bionomics and population dynamics of Nephotettix spp. (Hemiptera: Cicadellidae) in south and southeast Asia with particular reference to the incidence of rice tungro virus disease. Tropical Science, 35: 200-216
77	not detected	insect	Cicadellidae	Ulopa sp.	Spain	Lavina et al 2006	Lavina, A., Sabate, J., Batlle, A. 2006. Spread and transmission of Bois noir phytoplasma in two regions of Spain. In: Proceedings of the 15th Meeting of the International Council for the Study of Virus and Virus-like Diseases of the Grapevine, Stellenbosch, South Africa. pp. 218–220
78	not detected	insect	Cicadellidae	Eupelix cuspidata	Spain	Lavina et al 2006	Lavina, A., Sabate, J., Batlle, A. 2006. Spread and transmission of Bois noir phytoplasma in two regions of Spain. In: Proceedings of the 15th Meeting of the International Council for the Study of Virus and Virus-like Diseases of the Grapevine, Stellenbosch, South Africa. pp. 218–220
79	not detected	insect	Tettigometridae	Tettigometra sp.	Spain	Lavina et al 2006	Lavina, A., Sabate, J., Batlle, A. 2006. Spread and transmission of Bois noir phytoplasma in two regions of Spain. In: Proceedings of the 15th Meeting of the International Council for the Study of Virus and Virus-like Diseases of the Grapevine, Stellenbosch, South Africa. pp. 218–220
80	16SrXII A	insect	Aphrophoridae	Philaenus sp.	Spain	Lavina et al 2006	Lavina, A., Sabate, J., Batlle, A. 2006. Spread and transmission of Bois noir phytoplasma in two regions of Spain. In: Proceedings of the 15th Meeting of the International Council for the Study of Virus and Virus-like Diseases of the Grapevine, Stellenbosch, South Africa. pp. 218–220
81	not detected	insect	Cicadellidae	Mocydia crocea	Spain	Lavina et al 2006	Lavina, A., Sabate, J., Batlle, A. 2006. Spread and transmission of Bois noir phytoplasma in two regions of Spain. In: Proceedings of the 15th Meeting of the International Council for the Study of Virus and Virus-like Diseases of the Grapevine, Stellenbosch, South Africa. pp. 218–220
82	16SrXII A	insect	Issidae	Issus sp.	Spain	Lavina et al 2006	Lavina, A., Sabate, J., Batlle, A. 2006. Spread and transmission of Bois noir phytoplasma in two regions of Spain. In: Proceedings of the 15th Meeting of the International Council for the Study of Virus and Virus-like Diseases of the Grapevine, Stellenbosch, South Africa. pp. 218–220
83	not detected	insect	Cicadellidae	Graphocraerus ventralis	Spain	Lavina et al 2006	Lavina, A., Sabate, J., Batlle, A. 2006. Spread and transmission of Bois noir phytoplasma in two regions of Spain. In: Proceedings of the 15th Meeting of the International Council for the Study of Virus and Virus-like Diseases of the Grapevine, Stellenbosch, South Africa. pp. 218–220
84	16SrXII A	insect	Cicadellidae	Empoasca sp.	Spain	Lavina et al 2006	Lavina, A., Sabate, J., Batlle, A. 2006. Spread and transmission of Bois noir phytoplasma in two regions of Spain. In: Proceedings of the 15th Meeting of the International Council for the Study of Virus and Virus-like Diseases of the Grapevine, Stellenbosch, South Africa. pp. 218–220
85	16SrXII A	insect	Cicadellidae	Aphrodes bicinctus	Spain	Lavina et al 2006	Lavina, A., Sabate, J., Batlle, A. 2006. Spread and transmission of Bois noir phytoplasma in two regions of Spain. In: Proceedings of the 15th Meeting of the International Council for the Study of Virus and Virus-like Diseases of the Grapevine, Stellenbosch, South Africa. pp. 218–220
86	16SrXII A	insect	Cicadellidae	Anaceratagallia laevis	Spain	Lavina et al 2006	Lavina, A., Sabate, J., Batlle, A. 2006. Spread and transmission of Bois noir phytoplasma in two regions of Spain. In: Proceedings of the 15th Meeting of the International Council for the Study of Virus and Virus-like Diseases of the Grapevine, Stellenbosch, South Africa. pp. 218–220
87	16SrXII A	insect	Cicadellidae	Adarrus taurus	Spain	Lavina et al 2006	Lavina, A., Sabate, J., Batlle, A. 2006. Spread and transmission of Bois noir phytoplasma in two regions of Spain. In: Proceedings of the 15th Meeting of the International Council for the Study of Virus and Virus-like Diseases of the Grapevine, Stellenbosch, South Africa. pp. 218–220
